Pack	time	censored	motherage	pups3mo	ads3mo	attempt	censor	maxtemp	mintemp	meantemp	rainfall	days	cent.temp	birth	mincenttemp
Lolldaiga	260	no	NA	NA	NA	1	1	28.082	12.69	19.02	1.75	128	-0.328977778	332	1.232
Lendile	253	no	49	NA	NA	2	1	28.686	12.57	19.51	1.41	186	0.275022222	325	1.836
Lendile	249	no	34	5	13	3	1	28.483	11.98	19.2	0.8	511	0.072022222	321	1.633
Sosian	247	no	39	5	5	1	1	28.562	12.21	19.53	0.56	557	0.151022222	319	1.712
Lendile	285.5	no	34	8	6	4	1	28.286	13.63	19.56	3.99	832	-0.124977778	357.5	1.436
Sosian	173.5	no	49	2	8	2	1	27.944	12.5	18.82	1.75	876	-0.466977778	245.5	1.094
Tenais	366	no	26	7	8	1	1	28.369	12.06	19.33	2.1	955	-0.041977778	438	1.519
Sosian	240.5	no	58	3	9	3	1	29.2	12.15	20.3	2.35	1122	0.789022222	312.5	2.35
Lendile	332.5	no	46	9	11	5	1	29.089	12.45	19.68	2.88	1190	0.678022222	404.5	2.239
Pyramid	299.5	no	37	11	5	1	1	29.068	11.7	19.07	1.66	1236	0.657022222	371.5	2.218
Mugur	317	no	NA	NA	NA	2	1	27.106	12.52	18.97	2.59	1359	-1.304977778	389	0.256
Tenais	214.5	no	40	7	7	2	1	27.251	11.48	18.98	1.68	1393	-1.159977778	286.5	0.401
Sosian	282.5	no	68	6	6	4	1	28.61	10.65	18.91	0.55	1434	0.199022222	354.5	1.76
Pontoon	273.5	no	30	6	4	1	1	29.082	10.59	18.53	0.46	1446	0.671022222	345.5	2.232
Lendile	180	no	96	3	14	6	1	27.319	12.69	18.76	1.13	1594	-1.091977778	252	0.469
Bagines	153.5	no	24	5	3	1	1	27.845	11.78	19.53	0.57	1730	-0.565977778	225.5	0.995
Pontoon	163.5	no	41	0	6	2	1	28.037	10.6	19.98	0.07	1792	-0.373977778	235.5	1.187
Bagines	241.5	no	NA	NA	NA	2	1	28.542	12.78	19.4	1.76	1956	0.131022222	313.5	1.692
Sosian	205.5	no	41	8	9	6	1	26.851	13.69	19.55	2.82	2095	-1.559977778	277.5	0.001
Loisaba	302	no	50	12	10	2	1	28.396	11.72	20.27	0.71	2188	-0.014977778	374	1.546
Rat	299	no	55	9	9	2	1	28.866	11.62	20.47	0.36	2197	0.455022222	371	2.016
Bagines	278.5	no	42	NA	NA	3	1	28.628	13.27	20	2.32	2269	0.217022222	350.5	1.778
Dalambo	281	no	34	5	5	1	1	28.084	13.16	19.44	2.27	2299	-0.326977778	353	1.234
Sosian	258.5	no	50	7	11	7	1	27.679	12.53	18.74	2.45	2372	-0.731977778	330.5	0.829
Loisaba	297	no	63	12	15	3	1	28.6	11.37	20.18	0.88	2562	0.189022222	369	1.75
Rat	342	no	67	7	10	3	1	28.647	11.56	20.25	0.89	2568	0.236022222	414	1.797
Bagines	269.5	no	34	10	12	4	1	28.672	12.69	19.94	2.33	2620	0.261022222	341.5	1.822
Lebai	265	no	31	8	9	1	1	27.95	12.82	19.67	3.48	2808	-0.460977778	337	1.1
Nomaki	201	no	45	10	7	1	1	27.807	12.41	19.7	2.9	2821	-0.603977778	273	0.957
Sunflower	265	no	NA	4	3	1	1	27.652	11.23	19.6	1.89	2852	-0.758977778	337	0.802
Mouse	276.5	no	NA	8	8	1	1	28.739	11.18	20.58	0.26	2905	0.328022222	348.5	1.889
Loisaba	245	no	75	11	21	4	1	29.514	12.02	21.28	0.26	2931	1.103022222	317	2.664
Bagines	261	no	NA	6	24	5	1	29.927	12.9	21.69	0.04	2961	1.516022222	333	3.077
Rat	244	no	81	4	12	4	1	30.062	13.55	21.57	0.1	2982	1.651022222	316	3.212
Lebai	322	no	42	7	10	2	1	29.123	13.57	20.75	0	3145	0.712022222	394	2.273
Loisaba	257	no	86	10	24	5	1	28.031	12.1	19.63	NA	3248	-0.379977778	329	1.181
Andrews	252	no	NA	11	19	2	1	28.031	12.1	19.63	NA	3248	-0.379977778	324	1.181
Mouse	191.5	no	49	5	8	2	1	28.038	11.95	19.52	NA	3254	-0.372977778	263.5	1.188
