Pack	time	censored	motherage	pups3mo	ads3mo	attempt	censor	maxtemp	mintemp	meantemp	rainfall	days	IBI4	monthly	rounded
Lolldaiga	260	no	NA	NA	NA	1	0	28.082	12.69	19.02	1.75	128	332	11.06666667	1
Lolldaiga	260	no	NA	NA	NA	1	0	28.082	12.69	19.02	1.75	128	332	11.06666667	2
Lolldaiga	260	no	NA	NA	NA	1	0	28.082	12.69	19.02	1.75	128	332	11.06666667	3
Lolldaiga	260	no	NA	NA	NA	1	0	28.082	12.69	19.02	1.75	128	332	11.06666667	4
Lolldaiga	260	no	NA	NA	NA	1	0	28.082	12.69	19.02	1.75	128	332	11.06666667	5
Lolldaiga	260	no	NA	NA	NA	1	0	28.082	12.69	19.02	1.75	128	332	11.06666667	6
Lolldaiga	260	no	NA	NA	NA	1	0	28.082	12.69	19.02	1.75	128	332	11.06666667	7
Lolldaiga	260	no	NA	NA	NA	1	0	28.082	12.69	19.02	1.75	128	332	11.06666667	8
Lolldaiga	260	no	NA	NA	NA	1	0	28.082	12.69	19.02	1.75	128	332	11.06666667	9
Lolldaiga	260	no	NA	NA	NA	1	0	28.082	12.69	19.02	1.75	128	332	11.06666667	10
Lolldaiga	260	no	NA	NA	NA	1	1	28.082	12.69	19.02	1.75	128	332	11.06666667	11
Lendile	253	no	49	NA	NA	2	0	28.686	12.57	19.51	1.41	186	325	10.83333333	1
Lendile	253	no	49	NA	NA	2	0	28.686	12.57	19.51	1.41	186	325	10.83333333	2
Lendile	253	no	49	NA	NA	2	0	28.686	12.57	19.51	1.41	186	325	10.83333333	3
Lendile	253	no	49	NA	NA	2	0	28.686	12.57	19.51	1.41	186	325	10.83333333	4
Lendile	253	no	49	NA	NA	2	0	28.686	12.57	19.51	1.41	186	325	10.83333333	5
Lendile	253	no	49	NA	NA	2	0	28.686	12.57	19.51	1.41	186	325	10.83333333	6
Lendile	253	no	49	NA	NA	2	0	28.686	12.57	19.51	1.41	186	325	10.83333333	7
Lendile	253	no	49	NA	NA	2	0	28.686	12.57	19.51	1.41	186	325	10.83333333	8
Lendile	253	no	49	NA	NA	2	0	28.686	12.57	19.51	1.41	186	325	10.83333333	9
Lendile	253	no	49	NA	NA	2	0	28.686	12.57	19.51	1.41	186	325	10.83333333	10
Lolldaiga	183.5	yes	NA	6	8	2	0	28.13	13.14	19.58	2.02	460	255.5	8.516666667	1
Lolldaiga	183.5	yes	NA	6	8	2	0	28.13	13.14	19.58	2.02	460	255.5	8.516666667	2
Lolldaiga	183.5	yes	NA	6	8	2	0	28.13	13.14	19.58	2.02	460	255.5	8.516666667	3
Lolldaiga	183.5	yes	NA	6	8	2	0	28.13	13.14	19.58	2.02	460	255.5	8.516666667	4
Lolldaiga	183.5	yes	NA	6	8	2	0	28.13	13.14	19.58	2.02	460	255.5	8.516666667	5
Lolldaiga	183.5	yes	NA	6	8	2	0	28.13	13.14	19.58	2.02	460	255.5	8.516666667	6
Lolldaiga	183.5	yes	NA	6	8	2	0	28.13	13.14	19.58	2.02	460	255.5	8.516666667	7
Lolldaiga	183.5	yes	NA	6	8	2	0	28.13	13.14	19.58	2.02	460	255.5	8.516666667	8
Lendile	249	no	34	5	13	3	0	28.483	11.98	19.2	0.8	511	321	10.7	1
Lendile	249	no	34	5	13	3	0	28.483	11.98	19.2	0.8	511	321	10.7	2
Lendile	249	no	34	5	13	3	0	28.483	11.98	19.2	0.8	511	321	10.7	3
Lendile	249	no	34	5	13	3	0	28.483	11.98	19.2	0.8	511	321	10.7	4
Lendile	249	no	34	5	13	3	0	28.483	11.98	19.2	0.8	511	321	10.7	5
Lendile	249	no	34	5	13	3	0	28.483	11.98	19.2	0.8	511	321	10.7	6
Lendile	249	no	34	5	13	3	0	28.483	11.98	19.2	0.8	511	321	10.7	7
Lendile	249	no	34	5	13	3	0	28.483	11.98	19.2	0.8	511	321	10.7	8
Lendile	249	no	34	5	13	3	0	28.483	11.98	19.2	0.8	511	321	10.7	9
Lendile	249	no	34	5	13	3	1	28.483	11.98	19.2	0.8	511	321	10.7	10
Sosian	247	no	39	5	5	1	0	28.562	12.21	19.53	0.56	557	319	10.63333333	1
Sosian	247	no	39	5	5	1	0	28.562	12.21	19.53	0.56	557	319	10.63333333	2
