Pack	time	censored	motherage	pups3mo	ads3mo	attempt	censor	maxtemp	mintemp	meantemp	rainfall	days	IBI4	Month	Year	centred temp	centred pup number	centred IBI
Lolldaiga	183.5	yes	NA	6	8	2	0	28.13	13.14	19.58	2.02	460	255.5	8	2002	-0.261	-1	-68.76666667
Tenais	230	yes	50	14	15	3	0	28.274	12.16	19.15	2.05	1679	302	10	2005	-0.117	7	-22.26666667
Mugur	165	yes	NA	9	15	3	0	27.546	11.41	19.44	0.43	1748	237	7	2005	-0.845	2	-87.26666667
Lendile	139	yes	NA	9	14	7	0	29.146	12.53	20.8	0.92	1846	211	7	2006	0.755	2	-113.2666667
Dalambo	366.5	yes	24	7	10	2	0	28.644	12.53	19.56	1.76	2652	438.5	14	2008	0.253	0	114.2333333
Nomaki	201.5	yes	42	NA	NA	2	0	29.977	12.82	20.24	0.26	3094	273.5	9	2009	1.586	#VALUE!	-50.76666667
Sunflower	221	yes	NA	9	5	2	0	27.919	13.3	20.23	NA	3189	293	9	2010	-0.472	2	-31.26666667
Lolldaiga	260	no	NA	NA	NA	1	1	28.082	12.69	19.02	1.75	128	332	11	2001	-0.309	#VALUE!	7.733333333
Lendile	253	no	49	NA	NA	2	1	28.686	12.57	19.51	1.41	186	325	10	2001	0.295	#VALUE!	0.733333333
Lendile	249	no	34	5	13	3	1	28.483	11.98	19.2	0.8	511	321	10	2002	0.092	-2	-3.266666667
Sosian	247	no	39	5	5	1	1	28.562	12.21	19.53	0.56	557	319	10	2002	0.171	-2	-5.266666667
Lendile	285.5	no	34	8	6	4	1	28.286	13.63	19.56	3.99	832	357.5	11	2003	-0.105	1	33.23333333
Sosian	173.5	no	49	2	8	2	1	27.944	12.5	18.82	1.75	876	245.5	8	2003	-0.447	-5	-78.76666667
Tenais	366	no	26	7	8	1	1	28.369	12.06	19.33	2.1	955	438	14	2003	-0.022	0	113.7333333
Sosian	240.5	no	58	3	9	3	1	29.2	12.15	20.3	2.35	1122	312.5	10	2004	0.809	-4	-11.76666667
Lendile	332.5	no	46	9	11	5	1	29.089	12.45	19.68	2.88	1190	404.5	13	2004	0.698	2	80.23333333
Pyramid	299.5	no	37	11	5	1	1	29.068	11.7	19.07	1.66	1236	371.5	12	2004	0.677	4	47.23333333
Mugur	317	no	NA	NA	NA	2	1	27.106	12.52	18.97	2.59	1359	389	12	2004	-1.285	#VALUE!	64.73333333
Tenais	214.5	no	40	7	7	2	1	27.251	11.48	18.98	1.68	1393	286.5	9	2004	-1.14	0	-37.76666667
Sosian	282.5	no	68	6	6	4	1	28.61	10.65	18.91	0.55	1434	354.5	11	2004	0.219	-1	30.23333333
Pontoon	273.5	no	30	6	4	1	1	29.082	10.59	18.53	0.46	1446	345.5	11	2004	0.691	-1	21.23333333
Lendile	180	no	96	3	14	6	1	27.319	12.69	18.76	1.13	1594	252	8	2005	-1.072	-4	-72.26666667
Bagines	153.5	no	24	5	3	1	1	27.845	11.78	19.53	0.57	1730	225.5	7	2005	-0.546	-2	-98.76666667
Pontoon	163.5	no	41	0	6	2	1	28.037	10.6	19.98	0.07	1792	235.5	7	2005	-0.354	-7	-88.76666667
Bagines	241.5	no	NA	NA	NA	2	1	28.542	12.78	19.4	1.76	1956	313.5	10	2006	0.151	#VALUE!	-10.76666667
Sosian	205.5	no	41	8	9	6	1	26.851	13.69	19.55	2.82	2095	277.5	9	2006	-1.54	1	-46.76666667
Loisaba	302	no	50	12	10	2	1	28.396	11.72	20.27	0.71	2188	374	12	2006	0.005	5	49.73333333
Rat	299	no	55	9	9	2	1	28.866	11.62	20.47	0.36	2197	371	12	2007	0.475	2	46.73333333
Bagines	278.5	no	42	NA	NA	3	1	28.628	13.27	20	2.32	2269	350.5	11	2007	0.237	#VALUE!	26.23333333
Dalambo	281	no	34	5	5	1	1	28.084	13.16	19.44	2.27	2299	353	11	2007	-0.307	-2	28.73333333
Sosian	258.5	no	50	7	11	7	1	27.679	12.53	18.74	2.45	2372	330.5	11	2007	-0.712	0	6.233333333
Loisaba	297	no	63	12	15	3	1	28.6	11.37	20.18	0.88	2562	369	12	2007	0.209	5	44.73333333
Rat	342	no	67	7	10	3	1	28.647	11.56	20.25	0.89	2568	414	13	2008	0.256	0	89.73333333
Bagines	269.5	no	34	10	12	4	1	28.672	12.69	19.94	2.33	2620	341.5	11	2008	0.281	3	17.23333333
Lebai	265	no	31	8	9	1	1	27.95	12.82	19.67	3.48	2808	337	11	2008	-0.441	1	12.73333333
Nomaki	201	no	45	10	7	1	1	27.807	12.41	19.7	2.9	2821	273	9	2008	-0.584	3	-51.26666667
Sunflower	265	no	NA	4	3	1	1	27.652	11.23	19.6	1.89	2852	337	11	2008	-0.739	-3	12.73333333
Mouse	276.5	no	NA	8	8	1	1	28.739	11.18	20.58	0.26	2905	348.5	11	2008	0.348	1	24.23333333
Loisaba	245	no	75	11	21	4	1	29.514	12.02	21.28	0.26	2931	317	10	2009	1.123	4	-7.266666667
Bagines	261	no	NA	6	24	5	1	29.927	12.9	21.69	0.04	2961	333	11	2009	1.536	-1	8.733333333
Rat	244	no	81	4	12	4	1	30.062	13.55	21.57	0.1	2982	316	10	2009	1.671	-3	-8.266666667
Lebai	322	no	42	7	10	2	1	29.123	13.57	20.75	0	3145	394	13	2009	0.732	0	69.73333333
Loisaba	257	no	86	10	24	5	1	28.031	12.1	19.63	NA	3248	329	10	2010	-0.36	3	4.733333333
Andrews	252	no	NA	11	19	2	1	28.031	12.1	19.63	NA	3248	324	10	2010	-0.36	4	-0.266666667
Mouse	191.5	no	49	5	8	2	1	28.038	11.95	19.52	NA	3254	263.5	8	2010	-0.353	-2	-60.76666667
				7				28.391					324.2666667	10.31111111				
