pack	year	pupage3	pups	packsize	pupage6	pups6	pupage12	yearlings	package	days	maxtemp	mintemp	meantemp	rainfall	ln_packsize	ln_maxtemp	ln_rainfall	ln_days
Lendile	2002	85	5	13	176	5	NA	NA	3	575	28.4831	11.9822	19.2022	0.8000	2.564949357	3.349312546	-0.223143551	6.354370041
Lolldaiga	2002	107	6	8	183	3	NA	NA	2	539	28.1300	13.1433	19.5822	2.0244	2.079441542	3.336836623	0.705295314	6.289715571
Sosian	2002	110	5	5	205	4	440	3	1	622	28.5618	12.2089	19.5300	0.5600	1.609437912	3.352070082	-0.579818495	6.432940093
Churo	2003	118	5	7	176	5	NA	NA	1	1030	28.3444	11.9667	19.1733	2.1266	1.945910149	3.344431048	0.754503561	6.937314081
Lendile	2003	89	8	6	201	8	NA	NA	4	921	28.2856	13.6256	19.5556	3.9900	1.791759469	3.34235127	1.383791231	6.825460036
Sosian	2003	121	2	8	226	1	NA	0	2	974	27.9444	12.4978	18.8167	1.7522	2.079441542	3.330218412	0.560884824	6.881411304
Tenai's	2003	110	7	8	229	5	425	5	1	1036	28.3689	12.0556	19.3289	2.1009	2.079441542	3.345293083	0.742360536	6.943122423
Lendile	2004	155	9	11	201	7	NA	NA	5	1267	29.0893	12.4458	19.6821	2.8756	2.397895273	3.370371555	1.056245892	7.14440718
Pontoon	2004	113	6	4	202	6	434	2	1	1542	29.0817	10.5851	18.5261	0.4556	1.386294361	3.370108608	-0.786237604	7.340835554
Pyramid	2004	92	11	5	236	9	466	8	1	1327	29.0683	11.7041	19.0682	1.6609	1.609437912	3.36964938	0.507352934	7.190676034
Sosian	2004	92	3	9	167	2	NA	0	3	1217	29.1998	12.1488	20.3020	2.3511	2.197224577	3.374161099	0.85488803	7.103733162
Sosian	2004	87	6	6	210	4	426	4	4	1514	28.6101	10.6486	18.9141	0.5511	1.791759469	3.353760234	-0.595818837	7.322510434
Tenai's	2004	131	7	7	181	7	416	7	2	1488	27.2507	11.4755	18.9801	1.6811	1.945910149	3.305078261	0.51945495	7.304852137
Bagine's	2005	128	5	3	275	3	NA	NA	1	1812	27.8454	11.7799	19.5276	0.5711	1.098612289	3.326669378	-0.560171498	7.502186487
Mugur	2005	110	9	14	160	9	NA	NA	3	1826	27.5461	11.4098	19.4432	0.4333	2.63905733	3.315861368	-0.836248024	7.509609201
Pyramid	2005	95	5	13	196	5	NA	NA	2	1696	27.2066	12.4844	18.6893	1.1233	2.564949357	3.303457957	0.116300456	7.436027816
Loisaba	2006	218	12	10	218	12	481	10	2	2276	28.3959	11.7249	20.2683	0.7122	2.302585093	3.346244377	-0.339365306	7.730174795
Sosian	2006	115	8	9	199	7	372	7	6	2192	26.8513	13.6872	19.5486	2.8224	2.197224577	3.290315478	1.037570913	7.69234152
Dalambo	2007	104	5	5	217	5	NA	NA	1	2393	28.0838	13.1647	19.4362	2.2700	1.609437912	3.335192106	0.819779831	7.780303088
Rat	2007	172	9	9	215	7	391	4	2	2287	28.8662	11.6213	20.4748	0.3644	2.197224577	3.36267213	-1.009381155	7.734996194
Sosian	2007	94	7	11	212	7	431	5	7	2459	27.6791	12.5327	18.7368	2.4489	2.397895273	3.320678017	0.895634407	7.807510042
Bagine's	2008	143	10	12	213	10	NA	NA	4	2697	28.6722	12.6861	19.9392	2.3267	2.48490665	3.355928787	0.844436628	7.899895323
Dalambo	2008	77	7	10	167	7	NA	NA	2	2725	28.6437	12.5348	19.5603	1.7644	2.302585093	3.35493236	0.567835878	7.910040204
Lebai	2008	92	8	9	277	6	359	3	1	2900	27.9497	12.8241	19.6725	3.4800	2.197224577	3.330407121	1.247032294	7.972466016
Loisaba	2008	114	12	15	232	11	302	11	3	2636	28.6001	11.3737	20.1774	0.8778	2.708050201	3.353410603	-0.130361818	7.876828196
Mouse	2008	73	8	8	235	7	NA	NA	1	2986	28.7393	11.1793	20.5834	0.2600	2.079441542	3.358266684	-1.347073648	8.001522516
Nomaki	2008	170	10	7	193	10	NA	NA	1	2875	27.8070	12.4117	19.6958	2.8956	1.945910149	3.325289307	1.063176994	7.963807953
Rat	2008	170	7	10	208	7	351	7	3	2644	28.6469	11.5600	20.2458	0.8889	2.302585093	3.355044847	-0.117783036	7.880048201
Sosian	2008	101	8	9	182	5	389	5	8	2803	28.5220	12.6472	19.1316	1.1100	2.197224577	3.350675719	0.104360015	7.938445551
Sunflower	2008	90	4	3	225	3	427	2	1	2942	27.6520	11.2341	19.6029	1.8901	1.098612289	3.319698974	0.63663372	7.986844901
Bagine's	2009	141	7	24	257	7	NA	NA	5	3016	29.9271	12.9024	21.6861	0.0400	3.17805383	3.398764796	-3.218875825	8.011686729
Lebai	2009	106	8	9	201	7	NA	NA	2	3145	29.1226	13.5708	20.7516	NA	2.197224577	3.371512979	NA	8.053569169
Loisaba	2009	103	11	21	209	11	388	8	4	3002	29.5141	12.0176	21.2804	0.2622	3.044522438	3.384868492	-1.338562958	8.007034012
Loisaba	2009	NA	10	24	176	8	NA	NA	5	3248	28.0313	12.1022	19.6324	NA	3.17805383	3.333321697	NA	8.085794701
Rat	2009	99	4	12	178	2	NA	1	4	3079	30.0623	13.5486	21.5660	0.1000	2.48490665	3.403273004	-2.302585093	8.032197744
